group,method,dataset,metric,mean,sd,n,protocol,source_type
Baselines,Global ViT,Classification,weighted_f1,28.107,2.649,3,seeds 17/29/43,formal_v1 M2
Baselines,Global ViT,Classification,macro_f1,29.758,1.158,3,seeds 17/29/43,formal_v1 M2
Baselines,MTL global,Classification,weighted_f1,34.567,1.819,3,seeds 17/29/43,formal_v1 M2
Baselines,MTL global,Classification,macro_f1,33.638,1.171,3,seeds 17/29/43,formal_v1 M2
Baselines,MTL global,Mechanism,prototype_drift,0.119,0.007,3,seeds 17/29/43,formal_v1 M2
Baselines,MTL global,Mechanism,dependency_aopc_gap,0.036,0.887,3,seeds 17/29/43,formal_v1 M2
Baselines,Direct combination,Classification,weighted_f1,41.565,0.304,3,seeds 17/29/43,formal_v1 M2
Baselines,Direct combination,Classification,macro_f1,38.566,1.384,3,seeds 17/29/43,formal_v1 M2
Baselines,Direct combination,Mechanism,prototype_drift,0.126,0.005,3,seeds 17/29/43,formal_v1 M2
Baselines,Direct combination,Mechanism,dependency_aopc_gap,1.442,0.738,3,seeds 17/29/43,formal_v1 M2
Baselines,Sequential CBM,Classification,weighted_f1,42.887,0.532,3,seeds 17/29/43,formal_v1 M2
Baselines,Sequential CBM,Classification,macro_f1,33.748,0.686,3,seeds 17/29/43,formal_v1 M2
Baselines,Sequential CBM,Mechanism,prototype_drift,0.131,0.007,3,seeds 17/29/43,formal_v1 M2
Baselines,Sequential CBM,Mechanism,dependency_aopc_gap,3.799,1.313,3,seeds 17/29/43,formal_v1 M2
Proposed method,Ours,Classification,weighted_f1,38.279,6.092,3,seeds 17/29/43,formal_v1 M2
Proposed method,Ours,Classification,macro_f1,36.300,2.425,3,seeds 17/29/43,formal_v1 M2
Proposed method,Ours,Mechanism,prototype_drift,0.130,0.004,3,seeds 17/29/43,formal_v1 M2
Proposed method,Ours,Mechanism,dependency_aopc_gap,4.779,0.427,3,seeds 17/29/43,formal_v1 M2
