group,method,dataset,culture,time,space,biology,physics,chemistry,art,ancient,asia,europe,north_america,oceania,south_america,avg
Frontier Proprietary Models,Aurora-Pro,WISE,0.91,0.85,0.93,0.89,0.88,0.87,,,,,,,,0.89
Frontier Proprietary Models,Aurora,WISE,0.90,0.88,0.94,0.90,0.89,0.81,,,,,,,,0.89
Frontier Proprietary Models,Aurora-Pro,HumanitiesBench,,,,,,,29.10,24.20,30.40,30.10,28.90,31.20,26.00,28.56
Frontier Proprietary Models,Aurora,HumanitiesBench,,,,,,,30.20,18.10,31.50,29.40,30.00,31.80,27.10,28.30
General Image-Generation Models,Diffusion-XL,WISE,0.42,0.48,0.51,0.43,0.49,0.30,,,,,,,,0.44
General Image-Generation Models,Flow-Base,WISE,0.48,0.56,0.61,0.45,0.52,0.36,,,,,,,,0.50
General Image-Generation Models,Flow-Large,WISE,0.60,0.63,0.69,0.58,0.64,0.47,,,,,,,,0.60
General Image-Generation Models,Diffusion-XL,HumanitiesBench,,,,,,,10.90,9.20,11.50,10.30,10.00,9.70,10.80,10.34
General Image-Generation Models,Flow-Base,HumanitiesBench,,,,,,,9.10,11.60,10.30,10.80,8.50,,9.90,9.86
General Image-Generation Models,Flow-Large,HumanitiesBench,,,,,,,14.80,15.70,15.10,16.20,20.40,12.80,20.90,16.56
Unified Multimodal Models,Unified-3B,WISE,0.32,0.39,0.51,0.38,0.44,0.28,,,,,,,,0.39
Unified Multimodal Models,Unified-8B,WISE,0.51,0.54,0.65,0.57,0.66,0.41,,,,,,,,0.56
Unified Multimodal Models,Unified-CoT,WISE,0.73,0.68,0.74,0.64,0.76,0.59,,,,,,,,0.69
Unified Multimodal Models,Unified-Search,WISE,0.78,0.70,0.79,0.69,0.72,0.66,,,,,,,,0.72
Unified Multimodal Models,Unified-3B,HumanitiesBench,,,,,,,5.10,5.50,6.80,5.40,5.20,4.90,,5.56
Unified Multimodal Models,Unified-8B,HumanitiesBench,,,,,,,13.70,14.90,14.80,12.80,11.70,12.00,21.40,14.47
Unified Multimodal Models,Unified-CoT,HumanitiesBench,,,,,,,9.00,13.90,14.80,13.20,13.00,12.40,10.50,12.40
Unified Multimodal Models,Unified-Search,HumanitiesBench,,,,,,,14.30,15.80,17.40,16.60,19.90,15.20,20.80,17.14
Agentic Image Generation Models,Unify-Agent,WISE,0.82,0.76,0.75,0.73,0.74,0.71,,,,,,,,0.75
Agentic Image Generation Models,SearchGen-Agent,WISE,0.81,0.82,0.84,0.77,0.76,0.74,,,,,,,,0.79
Agentic Image Generation Models,PaperTable-Agent,WISE,0.88,0.78,0.81,0.80,0.83,0.81,,,,,,,,0.82
Agentic Image Generation Models,Unify-Agent,HumanitiesBench,,,,,,,14.10,14.00,15.60,15.80,15.90,15.00,24.20,16.37
Agentic Image Generation Models,SearchGen-Agent,HumanitiesBench,,,,,,,13.00,10.10,18.60,14.90,10.70,10.50,13.10,12.99
Agentic Image Generation Models,PaperTable-Agent,HumanitiesBench,,,,,,,24.70,17.40,26.50,19.00,20.10,21.30,19.80,21.26
